OOX Experience / Scenario;Feature;Priority ;Delivery Milestone ;Completion Status;Developer;Technical description;Remarks/Questions
;noEndnote (Suppress Endnotes In Document) ;;;;;;
;numFmt (Footnote Numbering Format);;;;;;
;numFmt (Endnote Numbering Format);;;;;;
;numRestart (Footnote and Endnote Numbering Restart Location) ;;;;;;
;numStart (Footnote and Endnote Numbering Starting Value) ;;;;;;
;pos (Footnote Placement) ;;;;;;
;pos (Endnote Placement);;;;;;
;separator (Footnote/Endnote Separator Mark) ;;;;;;
Glossary Document;;;;;;;
;behavior (Entry Insertion Behavior) ;;;;;;
;behaviors (Entry Insertion Behaviors) ;;;;;;
;category (Entry Categorization);;;;;;
;description (Description for Entry) ;;;;;;
;docPart (Glossary Document Entry);;;;;;
;docPartBody (Contents of Glossary Document Entry) ;;;;;;
;docPartPr (Glossary Document Entry Properties) ;;;;;;
;docParts (List of Glossary Document Entries) ;;;;;;
;gallery (Gallery Associated With Entry) ;;;;;;
;glossaryDocument (Glossary Document Root Element) ;;;;;;
;guid (Entry ID) ;;;;;;
;name (Category Associated With Entry);;;;;;
;name (Entry Name) ;;;;;;
;style (Associated Paragraph Style Name) ;;;;;;
;type (Entry Type);;;;;;
;types (Entry Types);;;;;;
Comments;;;;;;;
;annotationRef (Comment Information Block) ;;;;;;
;comment ;;;;;;
;commentRangeEnd (Comment Anchor End) ;;;;;;
;commentRangeStart (Comment Anchor Start);;;;;;
;commentReference (Comment Reference) ;;;;;;
;comments (Comments collection) ;;;;;;
Revisions;;;;;;;
;cellDel ;;;;;;
;cellIns ;;;;;;
;cellMerge ;;;;;;
;customXmlDelRangeEnd (Custom XML Markup Deletion End) ;;;;;;
;customXmlDelRangeStart (Custom XML Markup Deletion Start) ;;;;;;
;customXmlInsRangeEnd (Custom XML Markup Insertion End) ;;;;;;
;customXmlInsRangeStart (Custom XML Markup Insertion Start) ;;;;;;
;customXmlMoveFromRangeEnd (Custom XML Markup Move Source Location End);;;;;;
;customXmlMoveFromRangeStart (Custom XML Markup Move Source Location Start) ;;;;;;
;customXmlMoveToRangeEnd (Custom XML Markup Move Destination Location End);;;;;;
;customXmlMoveToRangeStart (Custom XML Markup Move Destination Location Start;;;;;;
;del (Deleted Region) ;;;;;;
;del (Deleted Text Runs) ;;;;;;
;del (Deleted Table Row);;;;;;
;ins (Inserted Table Row) ;;;;;;
;ins (Inserted Text Runs) ;;;;;;
;ins (Inserted Numbering Properties) ;;;;;;
;ins (Inserted Region) ;;;;;;
;moveFrom (Move Source Location) ;;;;;;
;moveFrom (Source of Moved Text Runs) ;;;;;;
;moveFromRangeEnd (Move Source Location End) ;;;;;;
;moveFromRangeStart (Move Destination Location Start) ;;;;;;
;moveTo (Target of Moved Text Runs) ;;;;;;
;moveTo (Move Destination Location) ;;;;;;
;moveToRangeEnd (Move Destination End) ;;;;;;
;moveToRangeStart (Move Destination Start) ;;;;;;
;numberingChange (Revised Numbering Properties) ;;;;;;
;pPrChange (Set of Revised Paragraph Properties) ;;;;;;
;rPrChange (Set of Revised Run Properties) ;;;;;;
;rPrChange (Modified Run Properties) ;;;;;;
;sectPrChange (Section Property Revisions) ;;;;;;
;tblGridChange (Set of Revised Grid Column Definitions) ;;;;;;
;tblPrChange (Revised Table Properties) ;;;;;;
;tblPrExChange (Revised Table-Level Property Exceptions) ;;;;;;
;tcPrChange (Set of Revised Table Cell Properties) ;;;;;;
;trPrChange (Revised Table Row Properties) ;;;;;;
Bookmarks;;;;;;;
;bookmarkEnd (Bookmark End) ;;;;;;
;bookmarkStart (Bookmark Start) ;;;;;;
Range Permissions;;;;;;;
;permEnd (Range Permission End) ;;;;;;
;permStart (Range Permission Start) ;;;;;;
Spelling & Grammar;;;;;;;
; proofErr (Proofing Tools Error) ;;;;;;
Mail Merge;;;;;;;
;active (Record Is Included in Mail Merge) ;;;;;;
;activeRecord (Record Currently Displayed In Merged Document) ;;;;;;
;addressFieldName (Column Containing E-mail Address) ;;;;;;
;checkErrors (Mail Merge Error Reporting Setting) ;;;;;;
;colDelim (Column Delimiter for Data Source) ;;;;;;
;column (Index of Column Containing Unique Values for Record) ;;;;;;
;column (Index of Column Being Mapped) ;;;;;;
;connectString (Data Source Connection String) ;;;;;;
;dataSource (Data Source File Path);;;;;;
;dataType (Data Source Type) ;;;;;;
;destination (Merged Document Destination) ;;;;;;
;doNotSuppressBlankLines (Remove Blank Lines from Merged Documents) ;;;;;;
;dynamicAddress (Use Country-Based Address Field Ordering) ;;;;;;
;fHdr (First Row of Data Source Contains Column Names);;;;;;
;fieldMapData (External Data Source to Merge Field Mapping) ;;;;;;
